ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
424554681,Audio,Yellow-rumped Warbler (Myrtle),Setophaga coronata coronata,,Jay McGowan,2022-02-21,2022,2,21,756,United States,US-NY-109,New York,Tompkins,Stewart Park and Renwick Woods,42.4589608,-76.5055355,Unknown – 1,Call,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S103345966,,,,,"Likely continuing overwintering bird, foraging around boardwalk between bridges and calling frequently.",Setophaga coronata,myrwar,Group,33875,,5.00,4,,,
41731941,Audio,Yellow-rumped Warbler,Setophaga coronata,,Paul Marvin,2016-12-04,2016,12,4,635,United States,US-FL-009,Florida,Brevard,"""Viera"" Ritch Grissom Memorial Wetlands",28.2285770,-80.7604659,,Call,Not Used,,,,,Tascam HD-P2 potable recorder,Sennheiser MKH70,,,S32851671,,,,in wax myrtle,,Setophaga coronata,yerwar,Species,33874,,4.75,4,,,
393752911,Audio,Yellow-rumped Warbler (Myrtle),Setophaga coronata coronata,Corvus brachyrhynchos -- American Crow; Cyanocitta cristata -- Blue Jay; Sitta carolinensis -- White-breasted Nuthatch; Melospiza melodia -- Song Sparrow; Poecile carolinensis -- Carolina Chickadee,Avery Fish,2021-12-05,2021,12,5,617,United States,US-TN-003,Tennessee,Bedford,"240–298 Kellertown Rd, Wartrace US-TN 35.53272, -86.29185",35.5327190,-86.2918480,,Call,Unspecified,,,,,iPhone 7,Røde VideoMic Me-L,Windshield,,S98490566,,,,,,Setophaga coronata,myrwar,Group,33875,,4.17,6,,,
499222831,Audio,Yellow-rumped Warbler,Setophaga coronata,Sayornis nigricans -- Black Phoebe; Melanerpes formicivorus -- Acorn Woodpecker; Sturnus vulgaris -- European Starling,Ashley Hopkins,2022-10-27,2022,10,27,815,United States,US-CA-059,California,Orange,Irvine Regional Park,33.7968382,-117.7532673,,Call,Unspecified,,,,,Sony PCM-A10,Sennheiser MKE 600,,,S121407682,,,,,,Setophaga coronata,yerwar,Species,33874,,4.67,3,,,
211059721,Audio,Yellow-rumped Warbler (Myrtle),Setophaga coronata coronata,,Brad Walker,2020-02-22,2020,2,22,914,United States,US-NY-059,New York,Nassau,Jones Beach SP--Coast Guard Station,40.5888889,-73.5566667,Unknown – 1,Call,Not Used,,,,,Sound Devices Mix-Pre 3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S64854065,,,,,,Setophaga coronata,myrwar,Group,33875,,4.67,3,,,
235584,Audio,Yellow-rumped Warbler (Myrtle),Setophaga coronata coronata,,Bob McGuire,2018-07-02,2018,7,2,750,Canada,CA-QC-MC,Quebec,Maria-Chapdelaine,1er Rang ,48.9574535,-72.3692608,Adult Female – 1; Adult Male – 1; Juvenile – 1,Call,Not Used,,,,,Sound Devices 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,S46986583,,,,Other Behaviors: Beg.,,Setophaga coronata,myrwar,Group,33875,,4.00,4,,,
206434,Audio,Yellow-rumped Warbler (Myrtle),Setophaga coronata coronata,Empidonax alnorum -- Alder Flycatcher,Bob McGuire,2015-06-01,2015,6,1,958,United States,US-AK,Alaska,,Desper Creek; Highway 2,62.6645254,-141.0563850,Adult – 1,Call,Not Used,,,,,Sound Devices 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,,,,,Equipment Notes: Telinga Pro 7 set on mono mode.,,Setophaga coronata,myrwar,Group,33875,,4.00,4,,,
125943061,Audio,Yellow-rumped Warbler (Myrtle),Setophaga coronata coronata,,Tom Johnson,2018-11-30,2018,11,30,645,United States,US-NJ-009,New Jersey,Cape May,Cape Island--CMP (Cape May Point),38.9377865,-74.9670721,,Call,Not Used,,,,,Marantz PMD661 mkII,Sennheiser ME67,,,S50323273,,,,,,Setophaga coronata,myrwar,Group,33875,,4.00,4,,,
43361651,Audio,Yellow-rumped Warbler (Myrtle),Setophaga coronata coronata,,Jeff Graham,2016-12-23,2016,12,23,818,United States,US-TX-187,Texas,Guadalupe,Warbler Woods Bird Sanctuary,29.6093750,-98.2426827,Adult,Call,Not Used,,,,,,,,,S33164821,,,,,,Setophaga coronata,myrwar,Group,33875,,4.00,4,,,
117532541,Audio,Yellow-rumped Warbler,Setophaga coronata,,valerie heemstra,2018-10-05,2018,10,5,717,United States,US-NY-119,New York,Westchester,Rockefeller SP Preserve,41.1080400,-73.8378825,,Call,Not Used,,,,,Sound Devices MIXPRE3,Telinga ProUniversal parabolic ME62 Sennheiser Omni mic,22 inch parabola,,S48948534,,,,Chip note of a Yellow-Rumped Warbler that was within 10 feet of me.,"Seen in small groups in many parts of the park.  Found at all levels, near the ground, in small shrubs and in tree tops.  Chip note recorded (see Audio)",Setophaga coronata,yerwar,Species,33874,,4.33,3,,,
74235021,Audio,Yellow-rumped Warbler,Setophaga coronata,,David W Foster,2017-11-05,2017,11,5,645,United States,US-FL-031,Florida,Duval,Westside Industrial Park,30.3740230,-81.7898762,,Call,Not Used,,,,,,,,,S40324061,,,,,,Setophaga coronata,yerwar,Species,33874,,4.33,3,,,
151532241,Audio,Yellow-rumped Warbler,Setophaga coronata,,Thomas Anderson,2019-04-16,2019,4,16,715,United States,US-IL-019,Illinois,Champaign,Lake of the Woods Forest Preserve--Stidham Woods,40.2113385,-88.3673501,Adult Male,Call,Not Used,,,,,Google Pixel 3,,,,S55033634,,,,Contact calls while foraging in low deciduous trees.,,Setophaga coronata,yerwar,Species,33874,,4.33,3,,,
133067181,Audio,Yellow-rumped Warbler (Myrtle),Setophaga coronata coronata,,Amy Davis,2019-01-04,2019,1,4,1018,United States,US-NJ-029,New Jersey,Ocean,Tuckerton--Great Bay Bvld. WMA,39.5301285,-74.3183899,,Call,Not Used,,,,,Zoom H1n,,,,S51296893,,,,,,Setophaga coronata,myrwar,Group,33875,,4.33,3,,,
90305051,Audio,Yellow-rumped Warbler,Setophaga coronata,,Paul Marvin,2018-03-18,2018,3,18,725,United States,US-FL-097,Florida,Osceola,Lakefront Park,28.2590675,-81.2834859,,Call,Not Used,,,,,Tascam HD-P2 portable recorder,Sennheiser MKH70,,,S43754839,,,,,,Setophaga coronata,yerwar,Species,33874,,4.33,3,,,
624358044,Audio,Yellow-rumped Warbler,Setophaga coronata,Poecile atricapillus -- Black-capped Chickadee,Glen Chapman,2024-09-28,2024,9,28,833,United States,US-NY-031,New York,Essex,Connery Pond,44.3094170,-73.9368170,,Call,Not Used,,,,,Sound Devices MixPre-3 ,"Wildtronics pro parabolic microphone, mono, amplified ",Wildtronics 22 inch Parabola ,,S197049965,,,,,,Setophaga coronata,yerwar,Species,33874,,5.00,2,,,
